date time,[Input]Dam/water_level,[SP]Control Group 1/PID Rule,[Output]Woodruff_Dam_simple/CrestLevel,[IP]Control Group 1/PID Rule,[DP]Control Group 1/PID Rule,[PID]Control Group 1/PID Rule_isActive
2023-08-10 16:55:00,23.437058818,23.2200704,21.9418849552,,,1
2023-08-10 17:00:00,23.4346460954,23.2190544,21.9299622399,,,1
2023-08-10 17:05:00,23.4322422017,23.2180384,21.9180831562,,,1
2023-08-10 17:10:00,23.4295784984,23.2170224,21.9062802831,,,1
2023-08-10 17:15:00,23.4267668685,23.2160064,21.89478412,,,1
2023-08-10 17:20:00,23.4240700794,23.2160064,21.8843877965,,,1
2023-08-10 17:25:00,23.421438137,23.2160064,21.874061407,,,1
2023-08-10 17:30:00,23.4189046472,23.2160064,21.8638410567,,,1
2023-08-10 17:35:00,23.4163215441,23.2160064,21.8536939536,,,1
2023-08-10 17:40:00,23.4137851543,23.2160064,21.8437415275,,,1
2023-08-10 17:45:00,23.4112154479,23.2160064,21.8339039141,,,1
2023-08-10 17:50:00,23.4085448725,23.2160064,21.8242471363,,,1
2023-08-10 17:55:00,23.4058637827,23.2160064,21.8148312884,,,1
2023-08-10 18:00:00,23.403166215,23.2160064,21.8055847172,,,1
2023-08-10 18:05:00,23.4002629443,23.2149904,21.7956394218,,,1
2023-08-10 18:10:00,23.397100006,23.2139744,21.7859719258,,,1
2023-08-10 18:15:00,23.3937813184,23.2129584,21.7766409803,,,1
2023-08-10 18:20:00,23.3907006066,23.2129584,21.7684465561,,,1
2023-08-10 18:25:00,23.3880609328,23.2129584,21.760246593,,,1
2023-08-10 18:30:00,23.3856686404,23.2129584,21.7518521798,,,1
2023-08-10 18:35:00,23.3830320814,23.2129584,21.7434033991,,,1
2023-08-10 18:40:00,23.3798877068,23.2129584,21.7353082255,,,1
2023-08-10 18:45:00,23.3764079554,23.2129584,21.7278079671,,,1
2023-08-10 18:50:00,23.3730887164,23.2129584,21.7207847952,,,1
2023-08-10 18:55:00,23.3701547108,23.2129584,21.7138323673,,,1
2023-08-10 19:00:00,23.3672792877,23.2129584,21.7067477928,,,1
2023-08-10 19:05:00,23.3640207907,23.2129584,21.6997888781,,,1
2023-08-10 19:10:00,23.3603886986,23.2129584,21.6933319325,,,1
2023-08-10 19:15:00,23.3566413166,23.2129584,21.6873917885,,,1
2023-08-10 19:20:00,23.3531298541,23.2139744,21.6826424798,,,1
2023-08-10 19:25:00,23.3498630176,23.2149904,21.6779760824,,,1
2023-08-10 19:30:00,23.3466328953,23.2160064,21.6733709544,,,1
2023-08-10 19:35:00,23.3433321759,23.2139744,21.6663699405,,,1
2023-08-10 19:40:00,23.3402064474,23.2119424,21.6595015295,,,1
2023-08-10 19:45:00,23.3372404793,23.2099104,21.6525587493,,,1
2023-08-10 19:50:00,23.3341713121,23.2099104,21.6472917203,,,1
2023-08-10 19:55:00,23.3306848075,23.2099104,21.6422913994,,,1
2023-08-10 20:00:00,23.327039609,23.2099104,21.6378341389,,,1
2023-08-10 20:05:00,23.3235653427,23.2088944,21.6328487846,,,1
2023-08-10 20:10:00,23.3203572013,23.2078784,21.627874181,,,1
2023-08-10 20:15:00,23.3171075732,23.2068624,21.6228182058,,,1
2023-08-10 20:20:00,23.3136830317,23.2068624,21.6188031986,,,1
2023-08-10 20:25:00,23.3101704032,23.2068624,21.6151335941,,,1
2023-08-10 20:30:00,23.3067624123,23.2068624,21.6117452167,,,1
2023-08-10 20:35:00,23.3034701094,23.2058464,21.6076038479,,,1
2023-08-10 20:40:00,23.300483879,23.2048304,21.6035065076,,,1
2023-08-10 20:45:00,23.2977250897,23.2038144,21.599282523,,,1
2023-08-10 20:50:00,23.2946206334,23.1997504,21.5923598708,,,1
2023-08-10 20:55:00,23.2909794628,23.1956864,21.5856561821,,,1
2023-08-10 21:00:00,23.2869607669,23.1916224,21.5793564952,,,1
2023-08-10 21:05:00,23.2831540788,23.1895904,21.5751036315,,,1
2023-08-10 21:10:00,23.2796844027,23.1875584,21.5707876411,,,1
2023-08-10 21:15:00,23.2765394212,23.1855264,21.5662883016,,,1
2023-08-10 21:20:00,23.2734872148,23.1865424,21.5642172674,,,1
2023-08-10 21:25:00,23.27021832,23.1875584,21.5623161035,,,1
2023-08-10 21:30:00,23.2666059691,23.1885744,21.5608453843,,,1
2023-08-10 21:35:00,23.2628831123,23.1865424,21.5573058491,,,1
2023-08-10 21:40:00,23.2597272284,23.1845104,21.5539561719,,,1
2023-08-10 21:45:00,23.2570379143,23.1824784,21.5502203489,,,1
2023-08-10 21:50:00,23.2544459043,23.1885744,21.5531407944,,,1
2023-08-10 21:55:00,23.2513152245,23.1946704,21.5565046721,,,1
2023-08-10 22:00:00,23.2478186199,23.2007664,21.5608530869,,,1
2023-08-10 22:05:00,23.2439871947,23.1987344,21.5590797122,,,1
2023-08-10 22:10:00,23.240475738,23.1967024,21.5576821649,,,1
2023-08-10 22:15:00,23.2370624067,23.1946704,21.5561174097,,,1
2023-08-10 22:20:00,23.2338696235,23.1936544,21.555430795,,,1
2023-08-10 22:25:00,23.2306230413,23.1926384,21.554698348,,,1
